"","Name","Height","Weight","Average_Height","Average_Weight","Year"
"414","Caron Butler",79,"235",79.6140350877193,223.088235294118,2002
"415","Jared Jeffries",82,"215",79.6140350877193,223.088235294118,2002
"416","Melvin Ely",82,"260",79.6140350877193,223.088235294118,2002
"417","Marcus Haislip",82,"230",79.6140350877193,223.088235294118,2002
"418","Fred Jones",76,"210",79.6140350877193,223.088235294118,2002
"419","Bostjan Nachbar",81,"221",79.6140350877193,223.088235294118,2002
"420","Jiri Welsch",79,"208",79.6140350877193,223.088235294118,2002
"421","Juan Dixon",75,"164",79.6140350877193,223.088235294118,2002
"422","Curtis Borchardt",84,"245",79.6140350877193,223.088235294118,2002
"423","Ryan Humphrey",80,"235",79.6140350877193,223.088235294118,2002
"424","Kareem Rush",78,"215",79.6140350877193,223.088235294118,2002
"425","Qyntel Woods",80,"221",79.6140350877193,223.088235294118,2002
